species_rank,species_common_name,species_scientific_name,species_slug,target_sample_count,selection_bucket,reuse_old_pass_allowed,selection_rank,selected_for_v2_review,recording_cap_applied,audio_event_id,recording_id,audio_recording_uuid,score,quality_score,event_start_s,event_end_s,duration_s,low_frequency_hertz,high_frequency_hertz,diel_bin,season,sample_local_date,recording_duration_s,canonical_file_name,notes_relative_path,source_annotation_csv,listen_url,library_url,candidate_status,reject_reason,warning_reason,reused_from_prior_library,prior_library_path,prior_retrieval_audio_path,prior_retrieval_spectrogram_path,prior_source_audio_path,prior_notes
15,Black-faced Cuckooshrike,Coracina novaehollandiae,black_faced_cuckooshrike,100,gt_100,false,22,true,10,4925902,1539179,a6ecc236-642a-472e-9840-f21732d7c285,0.998600,0.998600,792.0000,795.0000,3.0000,,,morning,winter,2024-07-18,2814.63,20240718T091300+1000_Bowra-Dry-A_1539179.flac,harvest_125/65/257/1120/20240718_AAO/20240718T091300+1000_REC.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_1539179/site_257_item_1539179.csv,https://data.acousticobservatory.org/listen/1539179?start=780&end=810,https://data.acousticobservatory.org/library/1539179/audio_events/4925902,candidate,,missing_annotation_frequency_box,false,,,,,
15,Black-faced Cuckooshrike,Coracina novaehollandiae,black_faced_cuckooshrike,100,gt_100,false,23,true,10,15474648,214452,2839c340-cf83-42b2-9cd2-7a17f08f6f1c,0.998600,0.998600,4242.0000,4245.0000,3.0000,,,morning,spring,2019-10-17,7194.749,20191017T080000+1000_Bowra-Dry-A_214452.flac,20200506_65/257/0591/20191017_AAO/20191017T080000+1000_REC.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_214452/site_257_item_214452.csv,https://data.acousticobservatory.org/listen/214452?start=4230&end=4260,https://data.acousticobservatory.org/library/214452/audio_events/15474648,candidate,,missing_annotation_frequency_box,false,,,,,
15,Black-faced Cuckooshrike,Coracina novaehollandiae,black_faced_cuckooshrike,100,gt_100,false,24,true,10,5251215,4974,5f4c1428-7c2c-4d72-ae9c-931e81bc02ab,0.998500,0.998500,3411.0000,3414.0000,3.0000,,,morning,winter,2019-08-27,7194.749,20190827T080000+1000_Bowra-Dry-A_4974.flac,20190827_AAO/20190827T080000+1000_REC.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_4974/site_257_item_4974.csv,https://data.acousticobservatory.org/listen/4974?start=3390&end=3420,https://data.acousticobservatory.org/library/4974/audio_events/5251215,candidate,,missing_annotation_frequency_box,false,,,,,
15,Black-faced Cuckooshrike,Coracina novaehollandiae,black_faced_cuckooshrike,100,gt_100,false,25,true,10,4925886,1539179,a6ecc236-642a-472e-9840-f21732d7c285,0.998400,0.998400,648.0000,651.0000,3.0000,,,morning,winter,2024-07-18,2814.63,20240718T091300+1000_Bowra-Dry-A_1539179.flac,harvest_125/65/257/1120/20240718_AAO/20240718T091300+1000_REC.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_1539179/site_257_item_1539179.csv,https://data.acousticobservatory.org/listen/1539179?start=630&end=660,https://data.acousticobservatory.org/library/1539179/audio_events/4925886,candidate,,missing_annotation_frequency_box,false,,,,,
15,Black-faced Cuckooshrike,Coracina novaehollandiae,black_faced_cuckooshrike,100,gt_100,false,26,true,10,9465347,445674,0ee707b7-8942-41ad-b903-77100f12e1ae,0.998300,0.998300,4035.0000,4038.0000,3.0000,,,afternoon,spring,2020-09-12,7194.842,20200912T160000+1000_Bowra-Dry-A_445674.flac,20210614_65/257/474/20200912_AAO/20200912T160000+1000_REC.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_445674/site_257_item_445674.csv,https://data.acousticobservatory.org/listen/445674?start=4020&end=4050,https://data.acousticobservatory.org/library/445674/audio_events/9465347,candidate,,missing_annotation_frequency_box,false,,,,,
15,Black-faced Cuckooshrike,Coracina novaehollandiae,black_faced_cuckooshrike,100,gt_100,false,27,true,10,12489111,5430,1844cf5e-2792-41a0-a5b5-b01a5b33796c,0.998100,0.998100,5307.0000,5310.0000,3.0000,,,afternoon,spring,2019-10-13,7194.749,20191013T160000+1000_Bowra-Dry-A_5430.flac,20191013_AAO/20191013T160000+1000_REC.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_5430/site_257_item_5430.csv,https://data.acousticobservatory.org/listen/5430?start=5280&end=5310,https://data.acousticobservatory.org/library/5430/audio_events/12489111,candidate,,missing_annotation_frequency_box,false,,,,,
15,Black-faced Cuckooshrike,Coracina novaehollandiae,black_faced_cuckooshrike,100,gt_100,false,28,true,10,15733238,1400756,8bf5b743-9571-46e3-998c-081aed487cd4,0.998000,0.998000,906.0000,909.0000,3.0000,,,dawn,spring,2023-10-11,4598.0,20231011T064322+1000_Bowra-Dry-A_1400756.flac,harvest_100/Bowra-Dry-A_257/257/1126/20231011_AAO/20231011T064322+1000_Rec.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_1400756/site_257_item_1400756.csv,https://data.acousticobservatory.org/listen/1400756?start=900&end=930,https://data.acousticobservatory.org/library/1400756/audio_events/15733238,candidate,,missing_annotation_frequency_box,false,,,,,
15,Black-faced Cuckooshrike,Coracina novaehollandiae,black_faced_cuckooshrike,100,gt_100,false,29,true,10,18314810,214495,c406134d-8481-4211-a70f-782dea093c14,0.998000,0.998000,4386.0000,4389.0000,3.0000,,,dawn,spring,2019-10-21,7194.749,20191021T060000+1000_Bowra-Dry-A_214495.flac,20200506_65/257/0591/20191021_AAO/20191021T060000+1000_REC.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_214495/site_257_item_214495.csv,https://data.acousticobservatory.org/listen/214495?start=4380&end=4410,https://data.acousticobservatory.org/library/214495/audio_events/18314810,candidate,,missing_annotation_frequency_box,false,,,,,
15,Black-faced Cuckooshrike,Coracina novaehollandiae,black_faced_cuckooshrike,100,gt_100,false,30,true,10,22399238,1536874,d6bc0fe4-20b5-4a35-8e4e-a8bf1fa9ecc2,0.997800,0.997800,5496.0000,5499.0000,3.0000,,,dawn,autumn,2024-05-23,5643.749,20240523T062550+1000_Bowra-Dry-A_1536874.flac,harvest_125/65/257/1120/20240523_AAO/20240523T062550+1000_REC.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_1536874/site_257_item_1536874.csv,https://data.acousticobservatory.org/listen/1536874?start=5490&end=5520,https://data.acousticobservatory.org/library/1536874/audio_events/22399238,candidate,,missing_annotation_frequency_box,false,,,,,
15,Black-faced Cuckooshrike,Coracina novaehollandiae,black_faced_cuckooshrike,100,gt_100,false,31,true,10,24016516,214857,53dd214d-05c3-4f13-bcc5-aa585d21dc1a,0.997800,0.997800,2298.0000,2301.0000,3.0000,,,dawn,spring,2019-11-20,7194.749,20191120T060000+1000_Bowra-Dry-A_214857.flac,20200506_65/257/0591/20191120_AAO/20191120T060000+1000_REC.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_214857/site_257_item_214857.csv,https://data.acousticobservatory.org/listen/214857?start=2280&end=2310,https://data.acousticobservatory.org/library/214857/audio_events/24016516,candidate,,missing_annotation_frequency_box,false,,,,,
15,Black-faced Cuckooshrike,Coracina novaehollandiae,black_faced_cuckooshrike,100,gt_100,false,32,true,10,18314808,214495,c406134d-8481-4211-a70f-782dea093c14,0.997600,0.997600,4371.0000,4374.0000,3.0000,,,dawn,spring,2019-10-21,7194.749,20191021T060000+1000_Bowra-Dry-A_214495.flac,20200506_65/257/0591/20191021_AAO/20191021T060000+1000_REC.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_214495/site_257_item_214495.csv,https://data.acousticobservatory.org/listen/214495?start=4350&end=4380,https://data.acousticobservatory.org/library/214495/audio_events/18314808,candidate,,missing_annotation_frequency_box,false,,,,,
15,Black-faced Cuckooshrike,Coracina novaehollandiae,black_faced_cuckooshrike,100,gt_100,false,33,true,10,2162089,1536026,2851b2e9-029d-4d1f-8cd4-3633effec8e6,0.997500,0.997500,2958.0000,2961.0000,3.0000,,,morning,winter,2024-08-23,7194.842,20240823T080000+1000_Bowra-Dry-A_1536026.flac,harvest_125/65/257/1121/20240823_AAO/20240823T080000+1000_REC.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_1536026/site_257_item_1536026.csv,https://data.acousticobservatory.org/listen/1536026?start=2940&end=2970,https://data.acousticobservatory.org/library/1536026/audio_events/2162089,candidate,,missing_annotation_frequency_box,false,,,,,
15,Black-faced Cuckooshrike,Coracina novaehollandiae,black_faced_cuckooshrike,100,gt_100,false,34,true,10,5251237,4974,5f4c1428-7c2c-4d72-ae9c-931e81bc02ab,0.997300,0.997300,3639.0000,3642.0000,3.0000,,,morning,winter,2019-08-27,7194.749,20190827T080000+1000_Bowra-Dry-A_4974.flac,20190827_AAO/20190827T080000+1000_REC.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_4974/site_257_item_4974.csv,https://data.acousticobservatory.org/listen/4974?start=3630&end=3660,https://data.acousticobservatory.org/library/4974/audio_events/5251237,candidate,,missing_annotation_frequency_box,false,,,,,
15,Black-faced Cuckooshrike,Coracina novaehollandiae,black_faced_cuckooshrike,100,gt_100,false,35,true,10,20598263,1672183,5498bb3a-db91-4f06-90f1-1e6ff6735ba1,0.997200,0.997200,576.0000,579.0000,3.0000,,,morning,winter,2025-06-05,1280.9985,20250605T093834+1000_Bowra-Dry-A_1672183.flac,harvest_145/65/257/157/20250605_AAO/20250605T093834+1000_REC.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_1672183/site_257_item_1672183.csv,https://data.acousticobservatory.org/listen/1672183?start=570&end=600,https://data.acousticobservatory.org/library/1672183/audio_events/20598263,candidate,,missing_annotation_frequency_box,false,,,,,
15,Black-faced Cuckooshrike,Coracina novaehollandiae,black_faced_cuckooshrike,100,gt_100,false,36,true,10,9836104,1536438,fe7820be-74ff-4729-80dd-f221cdca98d5,0.997100,0.997100,1134.0000,1137.0000,3.0000,,,dawn,spring,2024-09-16,2288.93,20240916T072146+1000_Bowra-Dry-A_1536438.flac,harvest_125/65/257/1121/20240916_AAO/20240916T072146+1000_REC.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_1536438/site_257_item_1536438.csv,https://data.acousticobservatory.org/listen/1536438?start=1110&end=1140,https://data.acousticobservatory.org/library/1536438/audio_events/9836104,candidate,,missing_annotation_frequency_box,false,,,,,
15,Black-faced Cuckooshrike,Coracina novaehollandiae,black_faced_cuckooshrike,100,gt_100,false,37,true,10,12601147,1539517,2587fba1-5c96-4ad4-ab7d-445871f0263a,0.997100,0.997100,4743.0000,4746.0000,3.0000,,,afternoon,winter,2024-07-09,7194.842,20240709T140000+1000_Bowra-Dry-A_1539517.flac,harvest_125/65/257/1120/20240709_AAO/20240709T140000+1000_REC.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_1539517/site_257_item_1539517.csv,https://data.acousticobservatory.org/listen/1539517?start=4740&end=4770,https://data.acousticobservatory.org/library/1539517/audio_events/12601147,candidate,,missing_annotation_frequency_box,false,,,,,
15,Black-faced Cuckooshrike,Coracina novaehollandiae,black_faced_cuckooshrike,100,gt_100,false,38,true,10,16658887,1539751,6abc2c71-78e1-40eb-bdc8-d9033d981b6e,0.997000,0.997000,6339.0000,6342.0000,3.0000,,,dawn,winter,2024-06-20,7194.842,20240620T060000+1000_Bowra-Dry-A_1539751.flac,harvest_125/65/257/1120/20240620_AAO/20240620T060000+1000_REC.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_1539751/site_257_item_1539751.csv,https://data.acousticobservatory.org/listen/1539751?start=6330&end=6360,https://data.acousticobservatory.org/library/1539751/audio_events/16658887,candidate,,missing_annotation_frequency_box,false,,,,,
15,Black-faced Cuckooshrike,Coracina novaehollandiae,black_faced_cuckooshrike,100,gt_100,false,39,true,10,21662679,216577,21aef5bf-5456-407a-87d1-782efb0cb322,0.996600,0.996600,1017.0000,1020.0000,3.0000,,,morning,autumn,2020-04-13,7194.749,20200413T080000+1000_Bowra-Dry-A_216577.flac,20200506_65/257/0591/20200413_AAO/20200413T080000+1000_REC.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_216577/site_257_item_216577.csv,https://data.acousticobservatory.org/listen/216577?start=990&end=1020,https://data.acousticobservatory.org/library/216577/audio_events/21662679,candidate,,missing_annotation_frequency_box,false,,,,,
15,Black-faced Cuckooshrike,Coracina novaehollandiae,black_faced_cuckooshrike,100,gt_100,false,40,true,10,24016527,214857,53dd214d-05c3-4f13-bcc5-aa585d21dc1a,0.996500,0.996500,2490.0000,2493.0000,3.0000,,,dawn,spring,2019-11-20,7194.749,20191120T060000+1000_Bowra-Dry-A_214857.flac,20200506_65/257/0591/20191120_AAO/20191120T060000+1000_REC.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_214857/site_257_item_214857.csv,https://data.acousticobservatory.org/listen/214857?start=2490&end=2520,https://data.acousticobservatory.org/library/214857/audio_events/24016527,candidate,,missing_annotation_frequency_box,false,,,,,
15,Black-faced Cuckooshrike,Coracina novaehollandiae,black_faced_cuckooshrike,100,gt_100,false,41,true,10,24016535,214857,53dd214d-05c3-4f13-bcc5-aa585d21dc1a,0.996400,0.996400,2634.0000,2637.0000,3.0000,,,dawn,spring,2019-11-20,7194.749,20191120T060000+1000_Bowra-Dry-A_214857.flac,20200506_65/257/0591/20191120_AAO/20191120T060000+1000_REC.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_214857/site_257_item_214857.csv,https://data.acousticobservatory.org/listen/214857?start=2610&end=2640,https://data.acousticobservatory.org/library/214857/audio_events/24016535,candidate,,missing_annotation_frequency_box,false,,,,,
