validation_role,filename,source_s3_uri,source_recording_id,source_clip_num,window_index,murphy_pool_label,eb_overall_label,eb_rain_present,eb_rain_intensity,eb_rain_confidence,eb_wind_present,eb_wind_intensity,eb_wind_confidence,eb_thunder_present,eb_thunder_intensity,eb_thunder_confidence
external_cross_check_not_training_data,040__rec_1313196__clip_003__win_00__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313196/site_257_item_1313196_clip_003.webm,1313196,3,0,rain,rain,True,heavy,0.617056,False,none,0.228853,False,none,0.228302
external_cross_check_not_training_data,041__rec_1313196__clip_003__win_01__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313196/site_257_item_1313196_clip_003.webm,1313196,3,1,rain,rain,True,heavy,0.612365,False,none,0.227164,False,none,0.223552
external_cross_check_not_training_data,042__rec_1313196__clip_003__win_02__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313196/site_257_item_1313196_clip_003.webm,1313196,3,2,rain,rain,True,heavy,0.614128,False,none,0.220685,False,none,0.220465
external_cross_check_not_training_data,043__rec_1313196__clip_004__win_00__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313196/site_257_item_1313196_clip_004.webm,1313196,4,0,rain,rain,True,heavy,0.620362,False,none,0.224933,False,none,0.223066
external_cross_check_not_training_data,044__rec_1313196__clip_004__win_01__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313196/site_257_item_1313196_clip_004.webm,1313196,4,1,rain,rain,True,heavy,0.619952,False,none,0.229116,False,none,0.225945
external_cross_check_not_training_data,045__rec_1313196__clip_004__win_02__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313196/site_257_item_1313196_clip_004.webm,1313196,4,2,rain,rain,True,heavy,0.616289,False,none,0.234842,False,none,0.223318
external_cross_check_not_training_data,046__rec_1313196__clip_005__win_00__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313196/site_257_item_1313196_clip_005.webm,1313196,5,0,rain,rain,True,heavy,0.619958,False,none,0.231444,False,none,0.226353
external_cross_check_not_training_data,047__rec_1313196__clip_005__win_01__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313196/site_257_item_1313196_clip_005.webm,1313196,5,1,rain,rain,True,heavy,0.620388,False,none,0.223753,False,none,0.222837
external_cross_check_not_training_data,048__rec_1313196__clip_005__win_02__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313196/site_257_item_1313196_clip_005.webm,1313196,5,2,rain,rain,True,heavy,0.616851,False,none,0.225569,False,none,0.223563
external_cross_check_not_training_data,049__rec_1313196__clip_006__win_00__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313196/site_257_item_1313196_clip_006.webm,1313196,6,0,rain,rain,True,heavy,0.618299,False,none,0.228463,False,none,0.225549
